party_key,source_name_english,source_name_french,long_display_name_english,long_display_name_french,short_display_name_english,short_display_name_french
animal_protection,Animal Protection Party,Parti Protection Animaux,Animal Protection Party,Parti Protection Animaux,APP,PPA
bloc,Bloc Québécois,Bloc Québécois,Bloc Québécois,Bloc Québécois,BQ,BQ
canadian_future,Canadian Future Party,Parti Avenir Canadien,Canadian Future Party,Parti Avenir Canadien,CFP,PAC
centrist,Centrist,Centriste,Centrist,Centriste,CEP,CEP
christian_heritage,Christian Heritage Party,Parti de l'Héritage Chrétien,Christian Heritage Party,Parti de l'Héritage Chrétien,CHP,PHC
communist,Communist,Communiste,Communist,Communiste,COM,COM
conservative,Conservative,Conservateur,Conservative,Conservateur,CON,CON
green,Green Party,Parti Vert,Green Party of Canada,Parti Vert du Canada,GRN,VRT
independent,Independent,Indépendant(e),Independent,Indépendant(e),IND,IND
liberal,Liberal,Libéral,Liberal,Libéral,LIB,LIB
libertarian,Libertarian,Libertarien,Libertarian,Libertarien,LTN,LTN
marijuana,Marijuana Party,Parti Marijuana,Marijuana Party,Parti Marijuana,MP,PM
marxist_leninist,Marxist-Leninist,Marxiste-Léniniste,Marxist-Leninist,Marxiste-Léniniste,ML,ML
ndp,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,New Democratic Party,Nouveau Parti démocratique,NDP,NPD
no_affiliation,No Affiliation,Aucune appartenance,No Affiliation,Aucune appartenance,NA,AA
ppc,People's Party - PPC,Parti populaire - PPC,People's Party of Canada,Parti populaire du Canada,PPC,PPC
rhinoceros,Parti Rhinocéros Party,Parti Rhinocéros Party,Rhinoceros Party,Parti Rhinocéros,RP,PR
united,United Party of Canada (UP),Parti Uni du Canada (UP),United Party of Canada,Parti Uni du Canada,UPC,PUC
